"Date","EventId","Source","Level","Summary","Message"
"9/23/2025 5:59:47 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 461 to 462.","The system session has transitioned from 461 to 462.

Reason 16777220 

BootId: 22"
"9/23/2025 5:59:47 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/23/2025 7:06:00 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 462 to 463.","The system session has transitioned from 462 to 463.

Reason PolicyChange 

BootId: 22"
"9/23/2025 7:06:36 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/23/2025 7:06:36 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 463 to 464.","The system session has transitioned from 463 to 464.

Reason 16777220 

BootId: 22"
"9/23/2025 7:06:36 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/23/2025 7:31:53 AM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/23/2025 7:31:53 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/23/2025 7:31:53 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 464 to 466.","The system session has transitioned from 464 to 466.

Reason InputMouse 

BootId: 22"
"9/23/2025 7:31:53 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/23/2025 7:31:56 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 466 to 467.","The system session has transitioned from 466 to 467.

Reason InputMouse 

BootId: 22"
"9/23/2025 7:35:26 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/23/2025 7:35:26 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 467 to 468.","The system session has transitioned from 467 to 468.

Reason 55 

BootId: 22"
"9/23/2025 7:35:26 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/23/2025 7:35:36 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 468 to 469.","The system session has transitioned from 468 to 469.

Reason 55 

BootId: 22"
"9/23/2025 8:16:35 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Lid."
"9/23/2025 8:16:35 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 469 to 470.","The system session has transitioned from 469 to 470.

Reason PolicyChange 

BootId: 22"
"9/23/2025 8:17:09 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 470 to 471.","The system session has transitioned from 470 to 471.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 8:17:09 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/23/2025 8:18:39 AM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/23/2025 8:18:40 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst."
"9/23/2025 8:18:40 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 471 to 473.","The system session has transitioned from 471 to 473.

Reason AcDcBurst 

BootId: 22"
"9/23/2025 8:18:46 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 473 to 474.","The system session has transitioned from 473 to 474.

Reason AcDcBurst 

BootId: 22"
"9/23/2025 8:18:46 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst."
"9/23/2025 8:19:08 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Input Mouse."
"9/23/2025 8:19:08 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 474 to 476.","The system session has transitioned from 474 to 476.

Reason InputHid 

BootId: 22"
"9/23/2025 8:19:20 AM","105","WudfUsbccidDriver","Information","The Smartcard reader reported the following class descriptor (part 2).","The Smartcard reader reported the following class descriptor (part 2)."
"9/23/2025 9:53:05 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 476 to 477.","The system session has transitioned from 476 to 477.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 9:53:05 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Idle Timeout."
"9/23/2025 9:53:10 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 477 to 478.","The system session has transitioned from 477 to 478.

Reason SessionUnlock 

BootId: 22"
"9/23/2025 10:27:45 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/23/2025 10:27:45 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 478 to 479.","The system session has transitioned from 478 to 479.

Reason 16777224 

BootId: 22"
